repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
facebook/react,da64117876002bd60baa9e93cad77421bbf0293f,eps1lon,2026-01-29T17:32:18Z,web-flow,2026-01-29T17:32:18Z,[Perf Tracks] Handle function names that aren't strings (#35659)
tensorflow/tensorflow,5af7e8acd0864b41581b5cb5c25ed7f7054cea7e,cota,2026-01-29T23:37:01Z,tensorflower-gardener,2026-01-29T23:42:41Z,Reverts 938f12698e98b54482670a9c4634c5404fd59a1d  PiperOrigin-RevId: 862930313
tensorflow/tensorflow,2934902169cd45f5463c1dd5c8bb64e9446edfcf,tensorflower-gardener,2026-01-29T22:49:50Z,tensorflower-gardener,2026-01-29T22:58:57Z,This is an internal change  Reverts c37f78cd3b795e44050387b0629a73b850d7ff9f  PiperOrigin-RevId: 862911528
tensorflow/tensorflow,b595ab8bef2bbccb74fc9d49c2ab9a960d1fea04,vksnk,2026-01-29T22:08:55Z,tensorflower-gardener,2026-01-29T22:38:38Z,"[XLA:CPU] Make convolution benchmark names more readable.  Also, exclude the same test for bf16 as we already exclude for int8.  PiperOrigin-RevId: 862893789"
tensorflow/tensorflow,51415cae64762d7da56f0bce01fd45e15a7c1e93,ybaturina,2026-01-29T21:58:17Z,tensorflower-gardener,2026-01-29T22:24:43Z,Refactor TSL Bazel rules for transitive dependencies.  Moves the definitions of `_transitive_hdrs` and `_transitive_parameters_library` rules from `tsl.bzl` into new dedicated file `transitive_dependencies.bzl`.  PiperOrigin-RevId: 862888816
tensorflow/tensorflow,5513a627f22de9159a17c6275485bc4d1f1c7b64,hhb,2026-01-29T21:55:05Z,tensorflower-gardener,2026-01-29T22:13:51Z,Add kSkipMegascalePjrtClient to TPU PJRT C API options.  PiperOrigin-RevId: 862887270
tensorflow/tensorflow,e979fbb9487d75ffba0cc19e8d757cd2b4a153ee,tensorflower-gardener,2026-01-29T21:45:41Z,tensorflower-gardener,2026-01-29T22:00:31Z,"Add support for compiler variants in PjRtCompiler registry.  The PjRtCompiler registry now uses a pair of (platform_name, compiler_variant) as the key, instead of just platform_name. This allows different compiler implementations to be registered for the same platform, distinguished by a variant str"
tensorflow/tensorflow,c37f78cd3b795e44050387b0629a73b850d7ff9f,tensorflower-gardener,2026-01-29T21:43:36Z,tensorflower-gardener,2026-01-29T21:49:17Z,Guard zero point deduplication behind a feature flag to avoid ABI breakage  PiperOrigin-RevId: 862882344
tensorflow/tensorflow,3a5495ec22e7ba3530dc5cc04855226cb1fa177a,zzzaries,2026-01-29T21:19:27Z,tensorflower-gardener,2026-01-29T21:36:48Z,Add PerfCounter Stats definition to xplane schema  PiperOrigin-RevId: 862871032
tensorflow/tensorflow,588563749dbb3150ea6d6f3e0d29232a871b904a,hhb,2026-01-29T21:11:33Z,tensorflower-gardener,2026-01-29T21:24:24Z,Handling error zero-sized buffer PjRtCApiClient.  PiperOrigin-RevId: 862866977
tensorflow/tensorflow,7a9396a0522aa043f0bcc78477e41fbf2fd31679,junwhanahn,2026-01-29T19:57:46Z,tensorflower-gardener,2026-01-29T20:28:57Z,Implement asynchronous compilation for PjRtCompiler in PjRt-IFRT  PiperOrigin-RevId: 862837072
tensorflow/tensorflow,e82cb343d0ea612a1a5f0d365487f558744e7f70,Varcho,2026-01-29T19:54:10Z,tensorflower-gardener,2026-01-29T20:16:17Z,[XLA Test Fixture Migration] Migrate `while_loop_unroller `  PiperOrigin-RevId: 862835785
tensorflow/tensorflow,c8caaa6d8bfe559af106a9015a92726a43a1f069,pschuh,2026-01-29T19:52:52Z,tensorflower-gardener,2026-01-29T20:09:59Z,Make PjRtStreamExecutorRawLoadedExecutable::Execute fold bad status results as error events.  PiperOrigin-RevId: 862835315
tensorflow/tensorflow,3358a4bcade6ebe6799dafc3ece252eb7e8b91e4,tensorflower-gardener,2026-01-29T19:51:09Z,tensorflower-gardener,2026-01-29T19:59:19Z,Add serialization_utils to `/tensorflow/compiler/xla/python/ifrt/ir/`.  PiperOrigin-RevId: 862834681
tensorflow/tensorflow,39bb6f8f23fb09e1c7bd1e6c926a19285d35b502,pkanwar23,2026-01-29T19:21:11Z,tensorflower-gardener,2026-01-29T19:40:20Z,Migrate slicing_test to use HloPjRtTestBase. This change updates slicing_test.cc to use the new HloPjRtTestBase infrastructure.  PiperOrigin-RevId: 862821266
tensorflow/tensorflow,d37f2b108e1278d488752920bc2e11a6d0902fd2,tensorflower-gardener,2026-01-29T19:13:24Z,tensorflower-gardener,2026-01-29T19:22:30Z,Create PjRtExecutable::GetAbiVersion and implement TPU version  PiperOrigin-RevId: 862817760
tensorflow/tensorflow,fcb267e12d61c645fa9400504c7712edee8182ac,chunnienc,2026-01-29T18:41:29Z,tensorflower-gardener,2026-01-29T18:46:06Z,Refactor FlatbufferExport buffer handling.  PiperOrigin-RevId: 862803332
tensorflow/tensorflow,6b7cc631d4d582b7c208fe8cc0d6b69b7dd2e21b,chunnienc,2026-01-29T18:12:33Z,tensorflower-gardener,2026-01-29T18:29:32Z,Refactor flatbuffer export API with more flexile write options.  PiperOrigin-RevId: 862788974
tensorflow/tensorflow,605548a2b2b0e8d4f0999851cd48816511f30b26,pkanwar23,2026-01-29T18:08:45Z,tensorflower-gardener,2026-01-29T18:13:20Z,[XLA] Migrate sorting_test to HloPjRtTestBase. This change updates sorting_test.cc to use the HloPjRt test infrastructure.  PiperOrigin-RevId: 862787407
tensorflow/tensorflow,2036d7711b84b63f519c6d0da1931bbaeb01b902,chunnienc,2026-01-29T17:42:23Z,tensorflower-gardener,2026-01-29T17:54:13Z,Fix flabuffer export custom option alignment behavior  PiperOrigin-RevId: 862775421
tensorflow/tensorflow,d2095fdd5a6d089d2009333c4f1a93dcd01057cf,tensorflower-gardener,2026-01-29T16:56:22Z,tensorflower-gardener,2026-01-29T17:12:08Z,Migrate reduce_window_rewriter_execution_test to PjRt runtime.  PiperOrigin-RevId: 862758121
